Array	Dye	Tissue	Gene	ExpLevel
2	1	M	45	7.896181
2	1	M	46	8.61432
2	1	M	47	8.02388
2	1	M	48	7.503841
2	1	M	49	6.971669
2	1	M	50	7.125283
2	1	M	51	7.144407
2	1	M	52	6.950815
2	1	M	53	7.283448
2	1	M	54	7.618251
2	1	M	55	8.108623
2	1	M	56	8.153925
2	1	M	57	7.295056
2	1	M	58	7.486613
2	1	M	59	7.449498
2	1	M	60	8.005701
2	1	M	61	8.417594
2	1	M	62	8.087025
2	1	M	63	8.452548
2	1	M	64	8.523374
2	1	M	65	7.971776
2	1	M	66	7.185387
2	1	M	67	7.558517
2	1	M	68	7.226936
2	1	M	69	7.187657
2	1	M	70	9.01127
2	1	M	71	8.693497
2	1	M	72	8.371705
2	1	M	73	9.412873
2	1	M	74	7.589842
2	1	M	75	7.477604
2	1	M	76	7.509335
2	1	M	77	7.509335
2	1	M	78	7.110696
2	1	M	79	7.991592
2	1	M	80	7.350516
2	1	M	81	9.06242
2	1	M	82	7.629004
2	1	M	83	7.498316
2	1	M	84	8.004032
2	1	M	85	7.497762
2	1	M	86	7.563201
2	1	M	87	7.211557
2	1	M	88	7.236339
2	1	M	89	8.22121
2	1	M	90	7.036148
2	1	M	91	7.005789
2	1	M	92	8.297793
2	1	M	93	7.325808
2	1	M	94	8.118803
2	1	M	95	7.357556
2	1	M	96	7.543273
2	1	M	97	7.422971
2	1	M	98	7.344719
2	1	M	99	7.351158
2	1	M	100	7.720905
2	2	L	1	8.753687
2	2	L	2	7.944847
2	2	L	3	7.597898
2	2	L	4	8.048469
2	2	L	5	7.26403
2	2	L	6	7.784889
2	2	L	7	6.867974
2	2	L	8	7.13966
2	2	L	9	7.009409
2	2	L	10	7.655864
2	2	L	11	9.223158
2	2	L	12	8.466952
2	2	L	13	8.466952
2	2	L	14	8.501673
2	2	L	15	6.753438
2	2	L	16	6.753438
2	2	L	17	7.603399
2	2	L	18	7.481556
2	2	L	19	7.416378
2	2	L	20	7.394493
2	2	L	21	8.29355
2	2	L	22	7.577634
2	2	L	23	7.285507
2	2	L	24	7.398174
2	2	L	25	7.754482
2	2	L	26	7.251345
2	2	L	27	7.36518
2	2	L	28	8.414274
2	2	L	29	7.53743
2	2	L	30	7.41998
2	2	L	31	7.41998
